instance,horizon,seed,N,w,q,beam_scorer,surrogate_model,surrogate_warmup_levels,surrogate_min_samples,surrogate_lambda,surrogate_forest_trees,surrogate_shortlist_multiplier,objective,bs_cost,ls_cost,ils_cost,bs_gap_pct,ls_gap_pct,ils_gap_pct,gap_pct,calls,levels,beam_pool,ls_improvements,beam_seconds,ls_seconds,ils_seconds,total_seconds
LR1_DR02_VC01_V6a,120,1,5,2,3,predictive,linear,1,16,1.0,8,2,33809.0,37009.03631999998,35468.229039999984,35468.229039999984,9.46504279925457,4.907654884793942,4.907654884793942,4.907654884793942,57,57,5,5,0.29237509,0.097163103,0.103662535,0.49320072800000003
LR1_DR02_VC02_V6a,120,1,5,2,3,predictive,linear,1,16,1.0,8,2,74982.0,84882.33805,84882.33805,84882.33805,13.203619602037831,13.203619602037831,13.203619602037831,13.203619602037831,64,66,5,0,0.411535327,0.070377199,0.06446701,0.546379536
LR1_DR02_VC03_V7a,120,1,5,2,3,predictive,linear,1,16,1.0,8,2,40446.0,45553.44264599998,45553.41264599998,45553.41264599998,12.627806571725218,12.627732398753851,12.627732398753851,12.627732398753851,64,66,5,3,0.248864535,0.087755123,0.102224091,0.438843749
LR1_DR02_VC03_V8a,120,1,5,2,3,predictive,linear,1,16,1.0,8,2,43721.0,50732.56509800001,48232.54509800001,48232.54509800001,16.037064792662576,10.318943066261086,10.318943066261086,10.318943066261086,56,57,5,5,0.293510543,0.093851855,0.090567416,0.477929814
LR1_DR02_VC04_V8a,120,1,5,2,3,predictive,linear,1,16,1.0,8,2,41657.0,42143.17113199999,42143.141132,42143.141132,1.1670814797032638,1.1670094629954078,1.1670094629954078,1.1670094629954078,75,78,5,2,0.478303379,0.12081051,0.134789747,0.733903636
LR1_DR02_VC05_V8a,120,1,5,2,3,predictive,linear,1,16,1.0,8,2,36659.0,37209.691162,37174.808253999996,37174.808253999996,1.5021990834447279,1.407043983742044,1.407043983742044,1.407043983742044,68,72,5,2,0.423826663,0.107810039,0.138755501,0.670392203
