instance,horizon,seed,objective,bs_cost,ls_cost,ils_cost,gap_pct,calls,levels,beam_seconds,ls_seconds,ils_seconds,total_seconds
LR1_DR02_VC01_V6a,120,1,33809.0,33808.95631999997,33808.95631999997,33808.946319999974,-0.00015877429094726577,58,59,205.703408552,0.188884758,369.839438344,575.731731654
LR1_DR02_VC02_V6a,120,1,74982.0,78052.07825000002,78052.07825000002,78052.07825000002,4.094420327545305,65,70,301.843033904,0.667797385,491.653264453,794.164095742
LR1_DR02_VC03_V7a,120,1,40446.0,42503.268153999976,42503.268153999976,42503.268153999976,5.086456396182505,63,69,351.361086589,0.159138126,446.548611897,798.068836612
LR1_DR02_VC03_V8a,120,1,43721.0,43968.008466,43968.008466,43968.008466,0.5649652706937154,55,60,292.365899546,0.167583599,370.98751042,663.520993565
LR1_DR02_VC04_V8a,120,1,41657.0,41950.059788000006,41950.059788000006,41950.059788000006,0.7035067047555176,74,82,615.576161253,0.3510138,547.754195926,1163.681370979
LR1_DR02_VC05_V8a,120,1,36659.0,36767.56223399998,36767.55223399999,36767.532233999984,0.2960589050437379,67,74,494.570184083,0.48079221,454.825733439,949.876709732
