instance,horizon,seed,objective,bs_cost,ls_cost,ils_cost,gap_pct,calls,levels,beam_seconds,ls_seconds,ils_seconds,total_seconds
LR1_DR02_VC01_V6a,120,1,33809.0,33809.366319999965,33809.366319999965,33809.366319999965,0.0010834984766323072,58,60,761.406475897,0.056812532,102.001001232,863.464289661
LR1_DR02_VC02_V6a,120,1,74982.0,78052.46825,78052.46825,78052.46825,4.094940452375244,65,71,1375.085883748,0.068658798,186.886436178,1562.0409787239998
LR1_DR02_VC03_V7a,120,1,40446.0,44535.10524399999,44535.10524399999,44535.10524399999,10.110036206299736,64,69,1712.753906521,0.185156557,171.109053966,1884.048117044
LR1_DR02_VC03_V8a,120,1,43721.0,45549.25353400001,45549.25353400001,45549.25353400001,4.181637048557925,54,59,1330.953711254,0.0724801,118.898094768,1449.9242861219998
LR1_DR02_VC04_V8a,120,1,41657.0,41708.19465799999,41708.19465799999,41708.19465799999,0.12289569100029543,74,83,3749.955207164,0.129747043,322.1141096,4072.199063807
LR1_DR02_VC05_V8a,120,1,36659.0,36715.16786199999,36715.16786199999,36715.16786199999,0.1532171144875406,67,74,2768.781467934,0.10265951,239.30564495,3008.189772394
