instance,horizon,seed,N,w,q,beam_scorer,surrogate_model,surrogate_warmup_levels,surrogate_min_samples,surrogate_lambda,surrogate_forest_trees,surrogate_shortlist_multiplier,objective,bs_cost,ls_cost,ils_cost,bs_gap_pct,ls_gap_pct,ils_gap_pct,gap_pct,calls,levels,beam_pool,ls_improvements,beam_seconds,ls_seconds,ils_seconds,total_seconds
LR1_DR02_VC01_V6a,120,1,1000,2,3,predictive,linear,1,16,1.0,8,2,33809.0,33808.96631999997,33808.946319999974,33808.946319999974,-9.96184448802464e-5,-0.00015877429094726577,-0.00015877429094726577,-0.00015877429094726577,58,59,1000,839,39.19434043,17.248345874,22.56221582,79.004902124
LR1_DR02_VC02_V6a,120,1,1000,2,3,predictive,linear,1,16,1.0,8,2,74982.0,77928.07644,77928.07644,77928.07644,3.9290448907737914,3.9290448907737914,3.9290448907737914,3.9290448907737914,66,69,1000,694,57.849652695,20.334912687,28.35695596,106.54152134200001
LR1_DR02_VC03_V7a,120,1,1000,2,3,predictive,linear,1,16,1.0,8,2,40446.0,40954.039853999995,40593.568053999996,40593.568053999996,1.2560941848390326,0.3648520348118374,0.3648520348118374,0.3648520348118374,64,68,1000,800,60.927522213,23.910276222,33.373895055,118.21169348999999
LR1_DR02_VC03_V8a,120,1,1000,2,3,predictive,linear,1,16,1.0,8,2,43721.0,43772.613456,43772.613456,43772.613456,0.11805186523638328,0.11805186523638328,0.11805186523638328,0.11805186523638328,54,59,1000,918,42.630437199,20.26833744,27.145400198,90.044174837
LR1_DR02_VC04_V8a,120,1,1000,2,3,predictive,linear,1,16,1.0,8,2,41657.0,41950.05978799999,41708.68845999999,41708.65845999999,0.7035067047554826,0.12408109081304534,0.12400907410517191,0.12400907410517191,74,81,1000,884,92.939824378,33.759306247,48.448025022,175.147155647
LR1_DR02_VC05_V8a,120,1,1000,2,3,predictive,linear,1,16,1.0,8,2,36659.0,36627.227990000014,36603.22524200001,36603.22524200001,-0.08666905807574139,-0.152144788455747,-0.152144788455747,-0.152144788455747,68,74,1000,767,75.854081315,25.321977111,41.621305663,142.79736408899998
