instance,horizon,seed,N,w,q,beam_scorer,surrogate_model,surrogate_warmup_levels,surrogate_min_samples,surrogate_lambda,surrogate_forest_trees,surrogate_shortlist_multiplier,objective,bs_cost,ls_cost,ils_cost,bs_gap_pct,ls_gap_pct,ils_gap_pct,gap_pct,calls,levels,beam_pool,ls_improvements,beam_seconds,ls_seconds,ils_seconds,total_seconds
LR1_DR02_VC01_V6a,120,1,1000,2,3,predictive,linear,1,16,1.0,8,2,33809.0,33808.96631999997,33808.946319999974,33808.946319999974,-9.96184448802464e-5,-0.00015877429094726577,-0.00015877429094726577,-0.00015877429094726577,58,59,1000,839,40.085444872,41.389689526,53.883938308,135.359072706
LR1_DR02_VC02_V6a,120,1,1000,2,3,predictive,linear,1,16,1.0,8,2,74982.0,77928.07644,77928.07644,77928.07644,3.9290448907737914,3.9290448907737914,3.9290448907737914,3.9290448907737914,66,69,1000,694,59.330075549,51.738297205,70.809788356,181.87816111
LR1_DR02_VC03_V7a,120,1,1000,2,3,predictive,linear,1,16,1.0,8,2,40446.0,40954.039853999995,40593.568053999996,40593.568053999996,1.2560941848390326,0.3648520348118374,0.3648520348118374,0.3648520348118374,64,68,1000,800,62.345622115,56.955633286,75.642075526,194.94333092699998
LR1_DR02_VC03_V8a,120,1,1000,2,3,predictive,linear,1,16,1.0,8,2,43721.0,43772.613456,43772.613456,43772.613456,0.11805186523638328,0.11805186523638328,0.11805186523638328,0.11805186523638328,54,59,1000,918,43.469190903,43.068499716,52.675006307,139.21269692599998
LR1_DR02_VC04_V8a,120,1,1000,2,3,predictive,linear,1,16,1.0,8,2,41657.0,41950.05978799999,41708.688460000005,41708.67846,0.7035067047554826,0.12408109081308027,0.12405708524378331,0.12405708524378331,74,81,1000,884,94.551662276,86.975891092,120.308906711,301.836460079
LR1_DR02_VC05_V8a,120,1,1000,2,3,predictive,linear,1,16,1.0,8,2,36659.0,36627.227990000014,36603.22524200001,36603.22524200001,-0.08666905807574139,-0.152144788455747,-0.152144788455747,-0.152144788455747,68,74,1000,767,77.271934963,62.240164188,94.974277825,234.486376976
