instance,horizon,seed,objective,bs_cost,ls_cost,ils_cost,gap_pct,calls,levels,beam_seconds,ls_seconds,ils_seconds,total_seconds
LR1_DR02_VC01_V6a,120,1,33809.0,33440.166320000004,33440.166320000004,33440.166320000004,-1.0909334200952294,58,60,1051.8390917,0.0970943,145.8626544,1197.7988403999998
LR1_DR02_VC02_V6a,120,1,74982.0,77626.46825,77626.46825,77626.46825,3.52680409965059,65,70,1932.6504182,0.1280252,268.0720076,2200.8504510000002
LR1_DR02_VC03_V7a,120,1,40446.0,43294.63113799999,43294.63113799999,43294.63113799999,7.0430478613459675,65,69,2542.6456108,0.1415352,252.872964,2795.6601100000003
