instance,horizon,seed,objective,bs_cost,ls_cost,ils_cost,gap_pct,calls,levels,beam_seconds,ls_seconds,ils_seconds,total_seconds
LR1_DR02_VC01_V6a,120,1,33809.0,33808.95631999997,33808.95631999997,33808.946319999974,-0.00015877429094726577,58,59,228.669585189,0.708152693,414.86923761,644.246975492
LR1_DR02_VC02_V6a,120,1,74982.0,78052.07825000002,78052.07825000002,78052.07825000002,4.094420327545305,65,70,339.01518871,0.274670441,553.349349477,892.639208628
LR1_DR02_VC03_V7a,120,1,40446.0,42503.268153999976,42503.268153999976,42503.268153999976,5.086456396182505,63,69,391.62640229,0.159700404,503.915249073,895.701351767
LR1_DR02_VC03_V8a,120,1,43721.0,43968.008466,43968.008466,43968.008466,0.5649652706937154,55,60,330.997096985,0.122467552,421.864411952,752.983976489
LR1_DR02_VC04_V8a,120,1,41657.0,41950.059788000006,41950.059788000006,41950.059788000006,0.7035067047555176,74,82,678.927328403,0.711058194,588.427524568,1268.065911165
LR1_DR02_VC05_V8a,120,1,36659.0,36767.56223399998,36767.55223399999,36767.532233999984,0.2960589050437379,67,74,549.8027866,0.487192888,519.470832038,1069.760811526
