instance,horizon,seed,objective,bs_cost,ls_cost,ils_cost,gap_pct,calls,levels,beam_seconds,ls_seconds,ils_seconds,total_seconds
LR1_DR02_VC01_V6a,120,1,33809.0,33440.166320000004,33440.166320000004,33440.166320000004,-1.0909334200952294,58,58,4.9543678,0.0801688,0.4573958,5.4919324
LR1_DR02_VC02_V6a,120,1,74982.0,83270.94805,83270.94805,83270.94805,11.054583833453371,64,66,7.0455242,0.1353866,1.1577447,8.3386555
LR1_DR02_VC03_V7a,120,1,40446.0,45562.02516599999,45562.02516599999,45562.02516599999,12.64902627206644,66,67,7.8803914,0.1096097,1.0596837,9.0496848
LR1_DR02_VC03_V8a,120,1,43721.0,49394.870966,49394.870966,49394.870966,12.977450117792372,54,58,5.4099304,0.0735384,0.449789,5.933257800000001
LR1_DR02_VC04_V8a,120,1,41657.0,41304.289788,41304.289788,41062.97846,-1.425982523945559,74,79,13.7136433,0.1512007,1.4386075,15.3034515
LR1_DR02_VC05_V8a,120,1,36659.0,37069.058962,37069.058962,37069.058962,1.118576507815278,70,72,12.1969013,0.2276897,1.7921822,14.216773199999999
