instance,horizon,seed,objective,bs_cost,ls_cost,ils_cost,gap_pct,calls,levels,beam_seconds,ls_seconds,ils_seconds,total_seconds
LR1_DR02_VC01_V6a,120,1,33809.0,33808.95631999997,33808.95631999997,33808.946319999974,-0.00015877429094726577,58,59,292.811616499,0.157968221,242.55217468,535.5217594000001
LR1_DR02_VC01_V6a,120,2,33809.0,33808.95631999997,33808.95631999997,33808.95631999997,-0.00012919636792451647,58,59,295.68675705,0.17376012,228.588245802,524.4487629719999
LR1_DR02_VC01_V6a,120,3,33809.0,33808.95631999997,33808.95631999997,33808.95631999997,-0.00012919636792451647,58,59,287.951814722,0.400298166,240.135337877,528.4874507650001
LR1_DR02_VC01_V6a,120,4,33809.0,33808.95631999997,33808.95631999997,33808.946319999974,-0.00015877429094726577,58,59,281.319187447,0.227640421,283.832965296,565.3797931639999
LR1_DR02_VC01_V6a,120,5,33809.0,33808.97631999997,33808.97631999997,33808.95631999997,-0.00012919636792451647,58,59,290.994631325,0.213138222,258.941052929,550.1488224760001
LR1_DR02_VC01_V6a,120,6,33809.0,33808.946319999974,33808.946319999974,33808.946319999974,-0.00015877429094726577,58,59,311.903892612,0.399870321,236.345546874,548.649309807
LR1_DR02_VC01_V6a,120,7,33809.0,33808.96631999997,33808.96631999997,33808.96631999997,-9.96184448802464e-5,58,59,275.264469321,0.256200142,262.123091207,537.64376067
LR1_DR02_VC01_V6a,120,8,33809.0,33808.95631999996,33808.95631999996,33808.94631999997,-0.00015877429096878654,58,59,283.877102588,0.124632931,270.984149306,554.9858848250001
LR1_DR02_VC01_V6a,120,9,33809.0,33808.946319999974,33808.946319999974,33808.946319999974,-0.00015877429094726577,58,59,311.430099346,0.226707102,279.865895398,591.522701846
LR1_DR02_VC01_V6a,120,10,33809.0,33808.946319999974,33808.946319999974,33808.946319999974,-0.00015877429094726577,58,58,300.704848686,0.172988376,275.925039429,576.802876491
LR1_DR02_VC01_V6a,120,11,33809.0,33808.97631999997,33808.97631999997,33808.95631999997,-0.00012919636792451647,58,59,283.71775377,0.166447415,247.060040018,530.944241203
