instance,seed,gra_beam_seconds,linear_beam_seconds,beam_change_pct,gra_ls_seconds,linear_ls_seconds,ls_change_pct,gra_ils_seconds,linear_ils_seconds,ils_change_pct,gra_total_seconds,linear_total_seconds,total_change_pct,gra_beam_share_pct,linear_beam_share_pct,linear_ls_ils_extra_seconds
LR1_DR02_VC01_V6a,1,166.82682378,129.992978033,-22.07909070760347,138.430955469,324.008625267,134.0579274117327,194.357186935,462.760473801,138.0979479579336,499.61496618399997,916.762077101,83.49371799310185,33.39107814447665,14.179576280474638,453.9809566640001
LR1_DR02_VC02_V6a,1,248.835410056,242.052458357,-2.7258788037737482,181.557429071,476.366026313,162.37760071316714,186.662564567,616.609219048,230.33362660496206,617.055403694,1335.0277037179999,116.35459242814522,40.326267068783075,18.130894039344156,724.7552517229999
LR1_DR02_VC03_V7a,1,287.97663374,266.115785439,-7.591188221450328,190.412084644,500.145411236,162.6647421937985,174.366582361,627.967421628,260.1420714480066,652.755300745,1394.228618303,113.5913131171428,44.117088503353045,19.086954746554092,763.334165859
LR1_DR02_VC03_V8a,1,214.952529972,149.393406618,-30.49934949011292,128.772325011,325.928455856,153.1044273900922,157.260332913,408.389749723,159.6902487475532,500.985187896,883.711612197,76.39475847746033,42.90596511939635,16.905221630684732,448.2855476550001
LR1_DR02_VC04_V8a,1,501.578383673,515.589384276,2.7933820633176194,176.859037541,775.899201429,338.7105189629502,150.598298599,1074.795902716,613.683961050498,829.035719813,2366.284488421,185.42611999332752,60.501420106016376,21.78898550867179,1523.237768005
LR1_DR02_VC05_V8a,1,421.386085899,377.835904457,-10.334983261036845,176.326610463,557.06810182,215.92968319259674,147.469404466,835.415063881,466.5006018747504,745.1821008280001,1770.3190701580002,137.56865176859876,56.54806864399748,21.34281389305027,1068.687150772
