job_index,worker,worker_pid,worker_run,instance,horizon,seed,N,w,q,beam_scorer,surrogate_model,surrogate_warmup_levels,surrogate_min_samples,surrogate_lambda,surrogate_forest_trees,surrogate_shortlist_multiplier,objective,bs_cost,ls_cost,ils_cost,bs_gap_pct,ls_gap_pct,ils_gap_pct,gap_pct,calls,levels,beam_pool,ls_improvements,beam_seconds,ls_seconds,ils_seconds,total_seconds,wall_seconds,worker_rss_mb_before,worker_rss_mb_after,worker_rss_mb_after_gc,started_at,finished_at
1,2,1381540,1,LR1_DR02_VC01_V6a,120,1,5,2,3,predictive,linear,1,16,1.0,8,2,33809.0,37009.03631999998,35468.229039999984,35468.229039999984,9.46504279925457,4.907654884793942,4.907654884793942,4.907654884793942,57,57,5,5,0.329866801,0.099641313,0.192819621,0.622327735,8.034827245,416.89453125,485.4140625,481.3671875,2026-06-28 11:11:07,2026-06-28 11:11:15
2,3,1381544,1,LR1_DR02_VC02_V6a,120,1,5,2,3,predictive,linear,1,16,1.0,8,2,74982.0,84882.33805,84882.33805,84882.33805,13.203619602037831,13.203619602037831,13.203619602037831,13.203619602037831,64,66,5,0,0.565483908,0.076333601,0.070981724,0.712799233,8.016619871,409.625,506.9375,477.86328125,2026-06-28 11:11:07,2026-06-28 11:11:15
3,2,1381540,2,LR1_DR02_VC03_V7a,120,1,5,2,3,predictive,linear,1,16,1.0,8,2,40446.0,45553.44264599998,45553.41264599998,45553.41264599998,12.627806571725218,12.627732398753851,12.627732398753851,12.627732398753851,64,66,5,3,0.385031826,0.088290186,0.10329782,0.576619832,0.578041095,481.3671875,507.1640625,481.3515625,2026-06-28 11:11:15,2026-06-28 11:11:16
4,3,1381544,2,LR1_DR02_VC03_V8a,120,1,5,2,3,predictive,linear,1,16,1.0,8,2,43721.0,50732.56509800001,48232.54509800001,48232.54509800001,16.037064792662576,10.318943066261086,10.318943066261086,10.318943066261086,56,57,5,5,0.249591249,0.105379813,0.100075832,0.455046894,0.456215732,477.86328125,505.81640625,477.86328125,2026-06-28 11:11:15,2026-06-28 11:11:16
5,3,1381544,3,LR1_DR02_VC04_V8a,120,1,5,2,3,predictive,linear,1,16,1.0,8,2,41657.0,42143.17113199999,42143.141132,42143.141132,1.1670814797032638,1.1670094629954078,1.1670094629954078,1.1670094629954078,75,78,5,2,0.630669124,0.132386784,0.146675212,0.90973112,0.910943787,477.86328125,517.3203125,477.86328125,2026-06-28 11:11:16,2026-06-28 11:11:17
6,2,1381540,3,LR1_DR02_VC05_V8a,120,1,5,2,3,predictive,linear,1,16,1.0,8,2,36659.0,37209.691162,37174.808253999996,37174.808253999996,1.5021990834447279,1.407043983742044,1.407043983742044,1.407043983742044,68,72,5,2,0.412561259,0.112539035,0.140058118,0.665158412,0.666554786,481.3515625,519.28125,481.37109375,2026-06-28 11:11:16,2026-06-28 11:11:17
