instance,horizon,seed,objective,bs_cost,ls_cost,ils_cost,gap_pct,calls,levels,beam_seconds,ls_seconds,ils_seconds,total_seconds
LR1_DR02_VC01_V6a,120,1,33809.0,33440.166320000004,33440.166320000004,33440.166320000004,-1.0909334200952294,58,58,236.3805992,0.1026604,110.7147005,347.1979601
LR1_DR02_VC02_V6a,120,1,74982.0,88411.02625,88411.02625,88411.02625,17.909666653330127,64,70,537.28081,0.2167312,197.1756478,734.673189
LR1_DR02_VC03_V7a,120,1,40446.0,47354.226555999994,47354.226555999994,47354.226555999994,17.080123018345436,65,68,599.0913567,0.2027389,185.5481799,784.8422755
LR1_DR02_VC03_V8a,120,1,43721.0,375880.667492,375880.667492,327658.417694,649.4302913794287,44,45,65.9781736,0.044688,63.906058,129.9289196
LR1_DR02_VC04_V8a,120,1,41657.0,43104.289788,43104.289788,43104.289788,3.4743015291547685,74,82,1295.1486918,0.1652345,492.3922425,1787.7061688000001
LR1_DR02_VC05_V8a,120,1,36659.0,41178.12600399999,41178.12600399999,41178.12600399999,12.327466663029517,68,73,956.4748479,0.1311774,310.8549031,1267.4609283999998
