instance,horizon,seed,N,w,q,beam_scorer,surrogate_model,surrogate_warmup_levels,surrogate_min_samples,surrogate_lambda,surrogate_forest_trees,surrogate_shortlist_multiplier,objective,bs_cost,ls_cost,ils_cost,bs_gap_pct,ls_gap_pct,ils_gap_pct,gap_pct,calls,levels,beam_pool,ls_improvements,beam_seconds,ls_seconds,ils_seconds,total_seconds
LR1_DR02_VC01_V6a,120,1,1000,2,3,gra,linear,1,16,1.0,8,2,33809.0,33808.96631999997,33808.95631999997,33808.95631999997,-9.96184448802464e-5,-0.00012919636792451647,-0.00012919636792451647,-0.00012919636792451647,58,59,1000,853,62.055778103,16.159181515,15.060258943,93.27521856099999
LR1_DR02_VC02_V6a,120,1,1000,2,3,gra,linear,1,16,1.0,8,2,74982.0,78052.07825000002,78052.07825000002,78052.07825000002,4.094420327545305,4.094420327545305,4.094420327545305,4.094420327545305,65,69,1000,644,93.392455007,18.336158753,21.245143155,132.973756915
LR1_DR02_VC03_V7a,120,1,1000,2,3,gra,linear,1,16,1.0,8,2,40446.0,40992.20206399998,40992.20206399998,40992.20206399998,1.350447668496224,1.350447668496224,1.350447668496224,1.350447668496224,65,68,1000,801,108.074277372,21.590148608,22.761535682,152.42596166200002
LR1_DR02_VC03_V8a,120,1,1000,2,3,gra,linear,1,16,1.0,8,2,43721.0,43772.61345599999,43772.61345599999,43772.61345599999,0.11805186523636664,0.11805186523636664,0.11805186523636664,0.11805186523636664,54,59,1000,905,82.505842258,17.928890152,16.840105403,117.274837813
LR1_DR02_VC04_V8a,120,1,1000,2,3,gra,linear,1,16,1.0,8,2,41657.0,41948.51598599999,41708.68845999999,41708.68845999999,0.6998007201670577,0.12408109081304534,0.12408109081304534,0.12408109081304534,74,80,1000,906,189.49009684,32.100683095,36.314257923,257.905037858
LR1_DR02_VC05_V8a,120,1,1000,2,3,gra,linear,1,16,1.0,8,2,36659.0,36623.992022000006,36603.225242,36603.225242,-0.095496271038474,-0.15214478845576684,-0.15214478845576684,-0.15214478845576684,68,74,1000,769,159.026104122,24.361469484,28.824746511,212.212320117
