instance,horizon,seed,N,w,q,beam_scorer,surrogate_model,surrogate_warmup_levels,surrogate_min_samples,surrogate_lambda,surrogate_forest_trees,surrogate_shortlist_multiplier,objective,bs_cost,ls_cost,ils_cost,bs_gap_pct,ls_gap_pct,ils_gap_pct,gap_pct,calls,levels,beam_pool,ls_improvements,beam_seconds,ls_seconds,ils_seconds,total_seconds
LR1_DR02_VC01_V6a,120,1,1000,2,3,gra,linear,1,16,1.0,8,2,33809.0,33808.96631999997,33808.95631999997,33808.95631999997,-9.96184448802464e-5,-0.00012919636792451647,-0.00012919636792451647,-0.00012919636792451647,58,59,31,14,59.848218441,0.522650311,22.422076657,82.792945409
LR1_DR02_VC02_V6a,120,1,1000,2,3,gra,linear,1,16,1.0,8,2,74982.0,78052.07825000002,78052.07825000002,78052.07825000002,4.094420327545305,4.094420327545305,4.094420327545305,4.094420327545305,65,69,36,19,90.466441549,0.789973714,28.256280539,119.512695802
LR1_DR02_VC03_V7a,120,1,1000,2,3,gra,linear,1,16,1.0,8,2,40446.0,40992.20206399998,40992.20206399998,40992.20206399998,1.350447668496224,1.350447668496224,1.350447668496224,1.350447668496224,65,68,34,22,105.728779995,0.782846473,33.652327489,140.163953957
LR1_DR02_VC03_V8a,120,1,1000,2,3,gra,linear,1,16,1.0,8,2,43721.0,43772.61345599999,43772.61345599999,43772.61345599999,0.11805186523636664,0.11805186523636664,0.11805186523636664,0.11805186523636664,54,59,41,31,80.292880332,0.728658961,26.709208263,107.73074755599998
LR1_DR02_VC04_V8a,120,1,1000,2,3,gra,linear,1,16,1.0,8,2,41657.0,41948.51598599999,41948.51598599999,41707.144658,0.6998007201670577,0.6998007201670577,0.12037510622463796,0.12037510622463796,74,80,21,12,187.369999987,0.706250697,51.449461774,239.525712458
LR1_DR02_VC05_V8a,120,1,1000,2,3,gra,linear,1,16,1.0,8,2,36659.0,36623.992022000006,36623.972022,36536.36427400001,-0.095496271038474,-0.09555082790037442,-0.3345310183038085,-0.3345310183038085,67,74,21,17,159.098362323,0.633068034,43.055172027,202.786602384
