job_index,worker,worker_pid,worker_run,instance,horizon,seed,N,w,q,beam_scorer,surrogate_model,surrogate_warmup_levels,surrogate_min_samples,surrogate_lambda,surrogate_forest_trees,surrogate_shortlist_multiplier,objective,bs_cost,ls_cost,ils_cost,bs_gap_pct,ls_gap_pct,ils_gap_pct,gap_pct,calls,levels,beam_pool,ls_improvements,beam_seconds,ls_seconds,ils_seconds,total_seconds,wall_seconds,worker_rss_mb_before,worker_rss_mb_after,worker_rss_mb_after_gc,started_at,finished_at
1,2,1381823,1,LR1_DR02_VC01_V6a,120,1,1000,2,3,predictive,linear,1,16,1.0,8,2,33809.0,33808.96631999997,33808.946319999974,33808.946319999974,-9.96184448802464e-5,-0.00015877429094726577,-0.00015877429094726577,-0.00015877429094726577,58,59,1000,839,106.119436324,18.420793458,23.053888879,147.594118661,156.650152813,406.48046875,653.0625,490.875,2026-06-28 11:11:51,2026-06-28 11:14:28
2,3,1381827,1,LR1_DR02_VC02_V6a,120,1,1000,2,3,predictive,linear,1,16,1.0,8,2,74982.0,77928.07644,77928.07644,77928.07644,3.9290448907737914,3.9290448907737914,3.9290448907737914,3.9290448907737914,66,69,1000,694,140.129786801,21.807263781,29.472964319,191.41001490099998,200.173889152,405.25,650.921875,490.91796875,2026-06-28 11:11:51,2026-06-28 11:15:12
3,4,1381828,1,LR1_DR02_VC03_V7a,120,1,1000,2,3,predictive,linear,1,16,1.0,8,2,40446.0,40954.039853999995,40593.568053999996,40593.568053999996,1.2560941848390326,0.3648520348118374,0.3648520348118374,0.3648520348118374,64,68,1000,800,144.486786485,23.965915754,32.387341306,200.84004354500001,209.827059443,408.25,635.4765625,487.96875,2026-06-28 11:11:51,2026-06-28 11:15:21
4,5,1381829,1,LR1_DR02_VC03_V8a,120,1,1000,2,3,predictive,linear,1,16,1.0,8,2,43721.0,43772.613456,43772.613456,43772.613456,0.11805186523638328,0.11805186523638328,0.11805186523638328,0.11805186523638328,54,59,1000,918,112.526930666,20.775189198,27.068220847,160.37034071099998,169.215494673,407.9609375,701.98828125,481.72265625,2026-06-28 11:11:51,2026-06-28 11:14:41
5,6,1381830,1,LR1_DR02_VC04_V8a,120,1,1000,2,3,predictive,linear,1,16,1.0,8,2,41657.0,41950.05978799999,41708.68845999999,41708.65845999999,0.7035067047554826,0.12408109081304534,0.12400907410517191,0.12400907410517191,74,81,1000,884,179.508411555,34.921778785,48.512272471,262.94246281100004,271.811805012,405.78515625,605.2578125,478.52734375,2026-06-28 11:11:51,2026-06-28 11:16:23
6,7,1381832,1,LR1_DR02_VC05_V8a,120,1,1000,2,3,predictive,linear,1,16,1.0,8,2,36659.0,36627.227990000014,36603.22524200001,36603.22524200001,-0.08666905807574139,-0.152144788455747,-0.152144788455747,-0.152144788455747,68,74,1000,767,161.64452614,24.93322855,39.677591834,226.255346524,235.128289907,406.1953125,701.9609375,481.63671875,2026-06-28 11:11:51,2026-06-28 11:15:46
