job_index,worker,worker_pid,worker_run,instance,horizon,seed,beam_scorer,surrogate_model,surrogate_forest_trees,surrogate_shortlist_multiplier,objective,bs_cost,ls_cost,ils_cost,gap_pct,calls,levels,beam_pool,ls_improvements,beam_seconds,ls_seconds,ils_seconds,total_seconds,wall_seconds,worker_rss_mb_before,worker_rss_mb_after,worker_rss_mb_after_gc,started_at,finished_at
1,2,3143669,1,LR1_DR02_VC01_V6a,120,1,predictive,linear,8,2,33809.0,33808.96631999997,33808.946319999974,33808.946319999974,-0.00015877429094726577,58,59,1000,839,129.992978033,324.008625267,462.760473801,916.762077101,925.950235358,408.3671875,606.56640625,484.24609375,2026-06-23 09:31:31,2026-06-23 09:46:57
2,3,3143673,1,LR1_DR02_VC02_V6a,120,1,predictive,linear,8,2,74982.0,77928.07644,77928.07644,77928.07644,3.9290448907737914,66,69,1000,694,242.052458357,476.366026313,616.609219048,1335.0277037179999,1344.200456621,406.41015625,639.875,488.96484375,2026-06-23 09:31:31,2026-06-23 09:53:55
3,4,3143674,1,LR1_DR02_VC03_V7a,120,1,predictive,linear,8,2,40446.0,40954.039853999995,40593.568053999996,40593.568053999996,0.3648520348118374,64,68,1000,800,266.115785439,500.145411236,627.967421628,1394.228618303,1403.635000107,402.94140625,603.4375,472.0703125,2026-06-23 09:31:31,2026-06-23 09:54:55
4,5,3143675,1,LR1_DR02_VC03_V8a,120,1,predictive,linear,8,2,43721.0,43772.613456,43772.613456,43772.613456,0.11805186523638328,54,59,1000,918,149.393406618,325.928455856,408.389749723,883.711612197,893.362196264,402.22265625,607.8671875,478.14453125,2026-06-23 09:31:31,2026-06-23 09:46:24
5,6,3143676,1,LR1_DR02_VC04_V8a,120,1,predictive,linear,8,2,41657.0,41950.05978799999,41708.688460000005,41708.67846,0.12405708524378331,74,81,1000,884,515.589384276,775.899201429,1074.795902716,2366.284488421,2375.642931864,405.16015625,642.2578125,485.55859375,2026-06-23 09:31:31,2026-06-23 10:11:07
6,7,3143678,1,LR1_DR02_VC05_V8a,120,1,predictive,linear,8,2,36659.0,36627.227990000014,36603.22524200001,36603.22524200001,-0.152144788455747,68,74,1000,767,377.835904457,557.06810182,835.415063881,1770.3190701580002,1779.522273364,399.25390625,630.296875,475.74609375,2026-06-23 09:31:31,2026-06-23 10:01:11
