job_index,worker,worker_pid,worker_run,instance,horizon,seed,objective,bs_cost,ls_cost,ils_cost,gap_pct,calls,levels,beam_pool,ls_improvements,beam_seconds,ls_seconds,ils_seconds,total_seconds,wall_seconds,worker_rss_mb_before,worker_rss_mb_after,worker_rss_mb_after_gc,started_at,finished_at
1,2,3144659,1,LR1_DR02_VC01_V6a,120,1,33809.0,33808.96631999997,33808.94631999998,33808.94631999998,-0.000158774290925745,58,59,1000,853,871.554190887,522.253166362,663.913361403,2057.720718652,2094.241301348,409.6015625,579.2109375,463.3828125,2026-06-23 09:33:50,2026-06-23 10:08:44
2,3,3144663,1,LR1_DR02_VC02_V6a,120,1,74982.0,78052.07825000002,78052.07825000002,78052.07825000002,4.094420327545305,65,69,1000,644,1236.410346473,609.734843215,594.241480552,2440.38667024,2473.464416197,405.2578125,578.46875,458.96875,2026-06-23 09:33:50,2026-06-23 10:15:03
3,4,3144664,1,LR1_DR02_VC03_V7a,120,1,40446.0,40992.20206399998,40589.729155999994,40589.729155999994,0.35536061909705274,65,68,1000,801,1398.239903805,639.12837803,528.84910864,2566.2173904750002,2598.967385508,406.18359375,566.9453125,455.46484375,2026-06-23 09:33:50,2026-06-23 10:17:09
4,5,3144665,1,LR1_DR02_VC03_V8a,120,1,43721.0,43772.61345599999,43772.61345599999,43772.61345599999,0.11805186523636664,54,59,1000,905,1090.431880057,500.1191647,515.642062451,2106.193107208,2139.403927548,405.2265625,589.47265625,458.3515625,2026-06-23 09:33:50,2026-06-23 10:09:29
5,6,3144666,1,LR1_DR02_VC04_V8a,120,1,41657.0,41948.51598599999,41708.68845999999,41708.65845999999,0.12400907410517191,74,80,1000,906,2127.332881345,513.812866425,323.26383783,2964.4095855999994,2997.19391514,405.9453125,575.89453125,459.31640625,2026-06-23 09:33:50,2026-06-23 10:23:47
6,7,3144668,1,LR1_DR02_VC05_V8a,120,1,36659.0,36623.992022000006,36603.225242,36603.225242,-0.15214478845576684,68,74,1000,769,1837.648127475,557.778057093,400.529891379,2795.9560759469996,2831.712040938,405.26171875,581.7734375,466.30859375,2026-06-23 09:33:50,2026-06-23 10:21:02
