job_index,worker,worker_pid,worker_run,instance,horizon,seed,N,w,q,beam_scorer,surrogate_model,surrogate_warmup_levels,surrogate_min_samples,surrogate_lambda,surrogate_forest_trees,surrogate_shortlist_multiplier,objective,bs_cost,ls_cost,ils_cost,bs_gap_pct,ls_gap_pct,ils_gap_pct,gap_pct,calls,levels,beam_pool,ls_improvements,beam_seconds,ls_seconds,ils_seconds,total_seconds,wall_seconds,worker_rss_mb_before,worker_rss_mb_after,worker_rss_mb_after_gc,started_at,finished_at
1,2,1557957,1,LR1_DR02_VC01_V6a,120,1,1000,2,3,gra,linear,1,16,1.0,8,2,33809.0,33808.96631999997,33808.95631999997,33808.95631999997,-9.96184448802464e-5,-0.00012919636792451647,-0.00012919636792451647,-0.00012919636792451647,58,59,31,14,161.209109365,0.531825295,24.089795799,185.830730459,195.032779118,408.6796875,485.828125,480.2890625,2026-06-28 20:01:35,2026-06-28 20:04:50
2,3,1557961,1,LR1_DR02_VC02_V6a,120,1,1000,2,3,gra,linear,1,16,1.0,8,2,74982.0,78052.07825000002,78052.07825000002,78052.07825000002,4.094420327545305,4.094420327545305,4.094420327545305,4.094420327545305,65,69,36,19,221.942944462,0.864030947,30.925110965,253.732086374,262.776836654,412.66796875,627.19921875,483.4765625,2026-06-28 20:01:35,2026-06-28 20:05:58
3,4,1557962,1,LR1_DR02_VC03_V7a,120,1,1000,2,3,gra,linear,1,16,1.0,8,2,40446.0,40992.20206399998,40992.20206399998,40992.20206399998,1.350447668496224,1.350447668496224,1.350447668496224,1.350447668496224,65,68,34,22,241.451442328,0.7985354,34.811033971,277.061011699,286.293625667,405.125,688.8671875,485.66015625,2026-06-28 20:01:35,2026-06-28 20:06:21
4,5,1557963,1,LR1_DR02_VC03_V8a,120,1,1000,2,3,gra,linear,1,16,1.0,8,2,43721.0,43772.61345599999,43772.61345599999,43772.61345599999,0.11805186523636664,0.11805186523636664,0.11805186523636664,0.11805186523636664,54,59,41,31,199.763790647,0.708534929,26.1816882,226.654013776,235.779618491,415.18359375,594.16796875,489.44140625,2026-06-28 20:01:35,2026-06-28 20:05:31
5,6,1557964,1,LR1_DR02_VC04_V8a,120,1,1000,2,3,gra,linear,1,16,1.0,8,2,41657.0,41948.51598599999,41948.51598599999,41707.144658,0.6998007201670577,0.6998007201670577,0.12037510622463796,0.12037510622463796,74,80,21,12,325.025524181,0.705063067,51.524729204,377.255316452,386.486193081,405.359375,655.09765625,481.0078125,2026-06-28 20:01:35,2026-06-28 20:08:01
6,7,1557966,1,LR1_DR02_VC05_V8a,120,1,1000,2,3,gra,linear,1,16,1.0,8,2,36659.0,36623.992022000006,36623.972022,36536.36427400001,-0.095496271038474,-0.09555082790037442,-0.3345310183038085,-0.3345310183038085,67,74,21,17,295.66208372,0.605629946,42.180888241,338.448601907,347.564561276,406.87890625,544.0078125,479.6875,2026-06-28 20:01:35,2026-06-28 20:07:22
