instance,horizon,seed,N,w,q,beam_scorer,surrogate_model,surrogate_warmup_levels,surrogate_min_samples,surrogate_lambda,surrogate_forest_trees,surrogate_shortlist_multiplier,objective,bs_cost,ls_cost,ils_cost,bs_gap_pct,ls_gap_pct,ils_gap_pct,gap_pct,calls,levels,beam_pool,ls_improvements,beam_seconds,ls_seconds,ils_seconds,total_seconds
LR1_DR02_VC01_V6a,120,1,1000,2,3,gra,linear,1,16,1.0,8,2,33809.0,33808.96631999997,33808.94631999998,33808.94631999998,-9.96184448802464e-5,-0.000158774290925745,-0.000158774290925745,-0.000158774290925745,58,59,1000,853,60.574656444,19.683430237,25.116497861,105.374584542
LR1_DR02_VC02_V6a,120,1,1000,2,3,gra,linear,1,16,1.0,8,2,74982.0,78052.07825000002,78052.07825000002,78052.07825000002,4.094420327545305,4.094420327545305,4.094420327545305,4.094420327545305,65,69,1000,644,91.498043256,20.316384623,30.104159148,141.918587027
LR1_DR02_VC03_V7a,120,1,1000,2,3,gra,linear,1,16,1.0,8,2,40446.0,40992.20206399998,40589.729155999994,40589.729155999994,1.350447668496224,0.35536061909705274,0.35536061909705274,0.35536061909705274,65,68,1000,801,106.26096337,24.208353254,36.030270044,166.49958666799998
LR1_DR02_VC03_V8a,120,1,1000,2,3,gra,linear,1,16,1.0,8,2,43721.0,43772.61345599999,43772.61345599999,43772.61345599999,0.11805186523636664,0.11805186523636664,0.11805186523636664,0.11805186523636664,54,59,1000,905,80.812983271,20.661029178,28.442250137,129.916262586
