job_index,worker,worker_pid,worker_run,instance,horizon,seed,objective,bs_cost,ls_cost,ils_cost,gap_pct,calls,levels,beam_pool,ls_improvements,beam_seconds,ls_seconds,ils_seconds,total_seconds,wall_seconds,worker_rss_mb_before,worker_rss_mb_after,worker_rss_mb_after_gc,started_at,finished_at
1,2,3144805,1,LR1_DR02_VC01_V6a,120,1,33809.0,33808.96631999997,33808.94631999998,33808.94631999998,-0.000158774290925745,58,59,1000,853,888.821022889,540.963129361,647.722038106,2077.506190356,2122.827046814,408.640625,588.51953125,462.17578125,2026-06-23 09:33:58,2026-06-23 10:09:21
2,3,3144809,1,LR1_DR02_VC02_V6a,120,1,74982.0,78052.07825000002,78052.07825000002,78052.07825000002,4.094420327545305,65,69,1000,644,1190.29704141,621.98354011,580.421867513,2392.702449033,2440.047216588,408.8046875,577.84765625,461.93359375,2026-06-23 09:33:58,2026-06-23 10:14:39
3,4,3144810,1,LR1_DR02_VC03_V7a,120,1,40446.0,40992.20206399998,40589.729155999994,40589.729155999994,0.35536061909705274,65,68,1000,801,1368.851007745,650.098022261,531.416121563,2550.3651515690003,2587.44165758,409.1640625,586.265625,463.9453125,2026-06-23 09:33:58,2026-06-23 10:17:06
4,5,3144811,1,LR1_DR02_VC03_V8a,120,1,43721.0,43772.61345599999,43772.61345599999,43772.61345599999,0.11805186523636664,54,59,1000,905,1059.620215417,446.326872917,520.615272529,2026.5623608629999,2075.128309835,408.6875,595.35546875,467.8125,2026-06-23 09:33:58,2026-06-23 10:08:34
5,6,3144814,1,LR1_DR02_VC04_V8a,120,1,41657.0,41948.51598599999,41708.68845999999,41708.65845999999,0.12400907410517191,74,80,1000,906,2110.471399188,507.728401946,322.72597993,2940.9257810639997,2983.62542313,410.42578125,605.9609375,468.8046875,2026-06-23 09:33:58,2026-06-23 10:23:42
6,7,3144817,1,LR1_DR02_VC05_V8a,120,1,36659.0,36623.992022000006,36603.225242,36603.225242,-0.15214478845576684,68,74,1000,769,1891.38050505,525.742065764,377.53211714,2794.654687954,2842.534979581,408.6171875,602.2578125,465.69140625,2026-06-23 09:33:58,2026-06-23 10:21:21
