job_index,worker,worker_pid,worker_run,instance,horizon,seed,N,w,q,beam_scorer,surrogate_model,surrogate_warmup_levels,surrogate_min_samples,surrogate_lambda,surrogate_forest_trees,surrogate_shortlist_multiplier,objective,bs_cost,ls_cost,ils_cost,bs_gap_pct,ls_gap_pct,ils_gap_pct,gap_pct,calls,levels,beam_pool,ls_improvements,beam_seconds,ls_seconds,ils_seconds,total_seconds,wall_seconds,worker_rss_mb_before,worker_rss_mb_after,worker_rss_mb_after_gc,started_at,finished_at
1,2,1560221,1,LR1_DR02_VC01_V6a,120,1,1000,2,3,predictive,linear,1,16,1.0,8,2,33809.0,33808.96631999997,33808.946319999974,33808.946319999974,-9.96184448802464e-5,-0.00015877429094726577,-0.00015877429094726577,-0.00015877429094726577,58,59,21,11,99.196865775,0.385237957,23.915357065,123.497460797,132.718625412,408.20703125,503.2265625,485.42578125,2026-06-28 20:08:31,2026-06-28 20:10:44
2,3,1560225,1,LR1_DR02_VC02_V6a,120,1,1000,2,3,predictive,linear,1,16,1.0,8,2,74982.0,77928.07644,77928.07644,77928.07644,3.9290448907737914,3.9290448907737914,3.9290448907737914,3.9290448907737914,66,69,34,20,130.976353993,0.626520107,28.128903857,159.73177795700002,168.859420024,404.6484375,518.20703125,482.73828125,2026-06-28 20:08:31,2026-06-28 20:11:20
3,4,1560226,1,LR1_DR02_VC03_V7a,120,1,1000,2,3,predictive,linear,1,16,1.0,8,2,40446.0,40954.039853999995,40593.568053999996,40593.568053999996,1.2560941848390326,0.3648520348118374,0.3648520348118374,0.3648520348118374,64,68,57,40,135.522402127,1.22302657,32.271944052,169.017372749,178.279186963,405.6953125,594.796875,482.6953125,2026-06-28 20:08:31,2026-06-28 20:11:30
4,5,1560227,1,LR1_DR02_VC03_V8a,120,1,1000,2,3,predictive,linear,1,16,1.0,8,2,43721.0,43772.613456,43772.613456,43772.613456,0.11805186523638328,0.11805186523638328,0.11805186523638328,0.11805186523638328,54,59,46,40,105.03062217,0.985422056,27.020273206,133.036317432,142.203319958,404.8359375,641.99609375,487.265625,2026-06-28 20:08:31,2026-06-28 20:10:53
5,6,1560228,1,LR1_DR02_VC04_V8a,120,1,1000,2,3,predictive,linear,1,16,1.0,8,2,41657.0,41950.05978799999,41950.04978799999,41708.62845999999,0.7035067047554826,0.7034826991861857,0.12393705739729848,0.12393705739729848,74,81,48,39,168.361574899,1.413019027,47.562708449,217.33730237499998,226.4145886,403.37109375,718.140625,482.20703125,2026-06-28 20:08:31,2026-06-28 20:12:18
6,7,1560230,1,LR1_DR02_VC05_V8a,120,1,1000,2,3,predictive,linear,1,16,1.0,8,2,36659.0,36627.227990000014,36627.21799000001,36627.21799000001,-0.08666905807574139,-0.0866963365066916,-0.0866963365066916,-0.0866963365066916,69,74,9,6,150.827163781,0.231121092,39.378700095,190.436984968,199.57376137,402.91796875,509.0234375,478.30859375,2026-06-28 20:08:31,2026-06-28 20:11:51
