instance,horizon,seed,N,w,q,beam_scorer,surrogate_model,surrogate_warmup_levels,surrogate_min_samples,surrogate_lambda,surrogate_forest_trees,surrogate_shortlist_multiplier,objective,bs_cost,ls_cost,ils_cost,bs_gap_pct,ls_gap_pct,ils_gap_pct,gap_pct,calls,levels,beam_pool,ls_improvements,beam_seconds,ls_seconds,ils_seconds,total_seconds
LR1_DR02_VC01_V6a,180,1,1000,2,3,gra,linear,1,16,1.0,8,2,52167.0,65395.12685999994,52167.21835999995,52167.21835999995,25.357269653228936,0.00041857879492400674,0.00041857879492400674,0.00041857879492400674,86,87,1000,933,177.528777702,73.427166969,75.912000592,326.867945263
LR1_DR02_VC03_V7a,180,1,1000,2,3,gra,linear,1,16,1.0,8,2,60547.0,69987.15535999998,68020.55446199997,68020.55446199997,15.591450212231779,12.343393499264986,12.343393499264986,12.343393499264986,97,101,1000,846,309.382804196,63.327659488,107.676597384,480.387061068
LR1_DR02_VC05_V8a,180,1,1000,2,3,gra,linear,1,16,1.0,8,2,58619.0,58070.10866599999,58070.028666,58070.018665999996,-0.9363710298708733,-0.9365075043927765,-0.9365245637080191,-0.9365245637080191,102,108,1000,794,454.791708601,79.89254786,136.765468105,671.449724566
