instance,horizon,seed,objective,bs_cost,ls_cost,ils_cost,gap_pct,calls,levels,beam_seconds,ls_seconds,ils_seconds,total_seconds
LR1_DR02_VC01_V6a,120,1,33809.0,33440.166320000004,33440.166320000004,33440.166320000004,-1.0909334200952294,58,59,799.005662556,0.048350876,94.19742044,893.2514338719999
LR1_DR02_VC03_V8a,120,1,43721.0,109026.908892,109026.908892,109026.908892,149.36965964181974,57,58,1156.612758018,0.055631498,105.06111414,1261.729503656
