instance,horizon,seed,N,w,q,beam_scorer,surrogate_model,surrogate_warmup_levels,surrogate_min_samples,surrogate_lambda,surrogate_forest_trees,surrogate_shortlist_multiplier,objective,bs_cost,ls_cost,ils_cost,bs_gap_pct,ls_gap_pct,ils_gap_pct,gap_pct,calls,levels,beam_pool,ls_improvements,beam_seconds,ls_seconds,ils_seconds,total_seconds
LR1_DR02_VC01_V6a,120,1,1000,2,3,gra,linear,1,16,1.0,8,2,33809.0,33808.96631999997,33808.94631999998,33808.94631999998,-9.96184448802464e-5,-0.000158774290925745,-0.000158774290925745,-0.000158774290925745,58,59,1000,853,74.757818979,19.199199356,24.981072667,118.93809100200002
LR1_DR02_VC02_V6a,120,1,1000,2,3,gra,linear,1,16,1.0,8,2,74982.0,78052.07825000002,78052.07825000002,78052.07825000002,4.094420327545305,4.094420327545305,4.094420327545305,4.094420327545305,65,69,1000,644,115.297748897,19.741892591,29.831626898,164.871268386
LR1_DR02_VC03_V7a,120,1,1000,2,3,gra,linear,1,16,1.0,8,2,40446.0,40992.20206399998,40589.729155999994,40589.729155999994,1.350447668496224,0.35536061909705274,0.35536061909705274,0.35536061909705274,65,68,1000,801,134.630397093,23.576050163,35.661813974,193.86826122999997
LR1_DR02_VC03_V8a,120,1,1000,2,3,gra,linear,1,16,1.0,8,2,43721.0,43772.61345599999,43772.61345599999,43772.61345599999,0.11805186523636664,0.11805186523636664,0.11805186523636664,0.11805186523636664,54,59,1000,905,98.748762574,19.987583764,27.958650112,146.69499645000002
