instance,horizon,seed,N,w,q,beam_scorer,surrogate_model,surrogate_warmup_levels,surrogate_min_samples,surrogate_lambda,surrogate_forest_trees,surrogate_shortlist_multiplier,objective,bs_cost,ls_cost,ils_cost,bs_gap_pct,ls_gap_pct,ils_gap_pct,gap_pct,calls,levels,beam_pool,ls_improvements,beam_seconds,ls_seconds,ils_seconds,total_seconds
LR1_DR02_VC01_V6a,120,1,1000,2,5,gra,linear,1,16,1.0,8,2,33809.0,33808.96631999997,33808.946319999974,33808.946319999974,-9.96184448802464e-5,-0.00015877429094726577,-0.00015877429094726577,-0.00015877429094726577,58,59,1000,882,100.815359873,18.005082527,21.337555497,140.157997897
LR1_DR02_VC02_V6a,120,1,1000,2,5,gra,linear,1,16,1.0,8,2,74982.0,78052.07825000002,78052.07825000002,78052.07825000002,4.094420327545305,4.094420327545305,4.094420327545305,4.094420327545305,65,69,1000,653,150.523030714,18.142720817,24.74105144,193.406802971
LR1_DR02_VC03_V7a,120,1,1000,2,5,gra,linear,1,16,1.0,8,2,40446.0,40566.92462399998,40566.92462399998,40566.92462399998,0.2989779557928534,0.2989779557928534,0.2989779557928534,0.2989779557928534,65,68,1000,800,176.589004339,21.455236354,33.385283486,231.429524179
LR1_DR02_VC03_V8a,120,1,1000,2,5,gra,linear,1,16,1.0,8,2,43721.0,43772.623456,43772.623456,43772.613456,0.11807473754031511,0.11807473754031511,0.11805186523638328,0.11805186523638328,54,59,1000,878,134.021932247,18.371890214,25.64916494,178.04298740099998
