instance,horizon,seed,objective,bs_cost,ls_cost,ils_cost,gap_pct,calls,levels,beam_seconds,ls_seconds,ils_seconds,total_seconds
LR1_DR02_VC01_V6a,120,1,33809.0,103233.72744,103233.72744,103233.72744,205.3439245171404,56,56,571.182540965,0.057473343,75.534872759,646.774887067
LR1_DR02_VC02_V6a,120,1,74982.0,92709.34296,92709.34296,92709.34296,23.64213139153396,65,70,1328.830992921,0.082909674,135.339246782,1464.2531493769998
LR1_DR02_VC03_V7a,120,1,40446.0,55926.80880599999,55926.80880599999,55926.80880599999,38.275252944666946,64,68,1584.050182981,0.072700956,112.46298826,1696.585872197
