instance,horizon,seed,objective,bs_cost,ls_cost,ils_cost,gap_pct,calls,levels,beam_seconds,ls_seconds,ils_seconds,total_seconds
LR1_DR02_VC01_V6a,120,1,33809.0,33440.166320000004,33440.166320000004,33440.166320000004,-1.0909334200952294,58,58,488.9399633,0.0925958,123.6261919,612.658751
LR1_DR02_VC02_V6a,120,1,74982.0,77626.46825,77626.46825,77626.46825,3.52680409965059,65,71,1050.5587266,0.1278317,246.0408069,1296.7273652
LR1_DR02_VC03_V7a,120,1,40446.0,43095.86351399999,43095.86351399999,43095.86351399999,6.551608351876552,64,69,1186.0385955,0.1158308,203.3769345,1389.5313608
LR1_DR02_VC03_V8a,120,1,43721.0,43332.15345599999,43332.15345599999,43332.15345599999,-0.8893816335399631,54,59,775.661857,0.1065457,154.1987931,929.9671958
LR1_DR02_VC04_V8a,120,1,41657.0,41304.289787999995,41304.289787999995,41062.97845999999,-1.4259825239455766,74,83,2254.6276087,0.1687355,486.0935167,2740.8898609
LR1_DR02_VC05_V8a,120,1,36659.0,36465.26029399999,36465.26029399999,36465.26029399999,-0.5284915191358399,69,74,1734.0947513,0.1467393,410.6510921,2144.8925827000003
