instance,horizon,seed,objective,bs_cost,ls_cost,ils_cost,gap_pct,calls,levels,beam_seconds,ls_seconds,ils_seconds,total_seconds
LR1_DR02_VC01_V6a,120,1,33809.0,33808.95631999997,33808.95631999997,33808.946319999974,-0.00015877429094726577,58,59,816.861099564,0.080294894,132.430479035,949.371873493
LR1_DR02_VC02_V6a,120,1,74982.0,78052.07825000002,78052.07825000002,78052.07825000002,4.094420327545305,65,70,1400.738991931,0.089082937,199.152195951,1599.9802708190002
LR1_DR02_VC03_V7a,120,1,40446.0,42503.268153999976,42503.268153999976,42503.268153999976,5.086456396182505,63,69,1749.21302554,0.071630184,178.918386452,1928.203042176
