instance,horizon,seed,N,w,q,beam_scorer,surrogate_model,surrogate_warmup_levels,surrogate_min_samples,surrogate_lambda,surrogate_forest_trees,surrogate_shortlist_multiplier,objective,bs_cost,ls_cost,ils_cost,bs_gap_pct,ls_gap_pct,ils_gap_pct,gap_pct,calls,levels,beam_pool,ls_improvements,beam_seconds,ls_seconds,ils_seconds,total_seconds
LR1_DR02_VC01_V6a,120,1,1000,2,3,gra,linear,1,16,1.0,8,2,33809.0,33808.96631999997,33808.94631999998,33808.94631999998,-9.96184448802464e-5,-0.000158774290925745,-0.000158774290925745,-0.000158774290925745,58,59,1000,853,61.975447413,18.296764913,24.10037943,104.372591756
LR1_DR02_VC02_V6a,120,1,1000,2,3,gra,linear,1,16,1.0,8,2,74982.0,78052.07825000002,78052.07825000002,78052.07825000002,4.094420327545305,4.094420327545305,4.094420327545305,4.094420327545305,65,69,1000,644,93.038912982,18.406199341,27.339534794,138.784647117
LR1_DR02_VC03_V7a,120,1,1000,2,3,gra,linear,1,16,1.0,8,2,40446.0,40992.20206399998,40589.729155999994,40589.729155999994,1.350447668496224,0.35536061909705274,0.35536061909705274,0.35536061909705274,65,68,1000,801,107.558758703,21.552598744,32.093886576,161.20524402299998
LR1_DR02_VC03_V8a,120,1,1000,2,3,gra,linear,1,16,1.0,8,2,43721.0,43772.61345599999,43772.61345599999,43772.61345599999,0.11805186523636664,0.11805186523636664,0.11805186523636664,0.11805186523636664,54,59,1000,905,82.617124371,18.275261185,25.067093733,125.959479289
LR1_DR02_VC04_V8a,120,1,1000,2,3,gra,linear,1,16,1.0,8,2,41657.0,41948.51598599999,41708.68845999999,41708.668459999986,0.6998007201670577,0.12408109081304534,0.12403307967445142,0.12403307967445142,74,80,1000,906,188.683840169,31.98188816,48.656525097,269.32225342600003
LR1_DR02_VC05_V8a,120,1,1000,2,3,gra,linear,1,16,1.0,8,2,36659.0,36623.992022000006,36603.225242,36603.225242,-0.095496271038474,-0.15214478845576684,-0.15214478845576684,-0.15214478845576684,68,74,1000,769,158.301566362,23.79119613,42.702392937,224.79515542899998
