instance,horizon,seed,N,w,q,beam_scorer,surrogate_model,surrogate_warmup_levels,surrogate_min_samples,surrogate_lambda,surrogate_forest_trees,surrogate_shortlist_multiplier,objective,bs_cost,ls_cost,ils_cost,bs_gap_pct,ls_gap_pct,ils_gap_pct,gap_pct,calls,levels,beam_pool,ls_improvements,beam_seconds,ls_seconds,ils_seconds,total_seconds
LR1_DR02_VC01_V6a,180,1,1000,2,3,gra,linear,1,16,1.0,8,2,52167.0,65395.12685999994,52167.21835999995,52167.21835999995,25.357269653228936,0.00041857879492400674,0.00041857879492400674,0.00041857879492400674,86,87,1000,933,176.245267476,72.684441723,75.139607591,324.06931679
LR1_DR02_VC02_V6a,180,1,1000,2,3,gra,linear,1,16,1.0,8,2,129372.0,142360.73609000002,141278.94973000002,141278.94973000002,10.039835582660869,9.203652822867406,9.203652822867406,9.203652822867406,99,101,1000,703,260.728752489,58.689162742,86.729348698,406.147263929
LR1_DR02_VC03_V7a,180,1,1000,2,3,gra,linear,1,16,1.0,8,2,60547.0,69987.15535999998,68020.55446199997,68020.55446199997,15.591450212231779,12.343393499264986,12.343393499264986,12.343393499264986,97,101,1000,846,306.217736404,63.888287691,106.504944639,476.61096873400004
LR1_DR02_VC03_V8a,180,1,1000,2,3,gra,linear,1,16,1.0,8,2,68153.0,74288.33394400001,71626.121944,71626.121944,9.002294754449567,5.096066121814151,5.096066121814151,5.096066121814151,84,87,1000,979,235.656089335,61.43112706,87.162599408,384.249815803
