job_index,worker,worker_pid,worker_run,instance,horizon,seed,objective,bs_cost,ls_cost,ils_cost,gap_pct,calls,levels,beam_pool,ls_improvements,beam_seconds,ls_seconds,ils_seconds,total_seconds,wall_seconds,worker_rss_mb_before,worker_rss_mb_after,worker_rss_mb_after_gc,started_at,finished_at
1,2,3144850,1,LR1_DR02_VC01_V6a,120,1,33809.0,33808.96631999997,33808.94631999998,33808.94631999998,-0.000158774290925745,58,59,1000,853,861.44516183,527.078259096,649.584659045,2038.1080799709998,2085.981613587,411.72265625,577.99609375,466.71875,2026-06-23 09:34:01,2026-06-23 10:08:47
2,3,3144854,1,LR1_DR02_VC02_V6a,120,1,74982.0,78052.07825000002,78052.07825000002,78052.07825000002,4.094420327545305,65,69,1000,644,1242.280303018,604.568154265,571.222689844,2418.071147127,2463.866150364,408.42578125,579.26171875,462.05859375,2026-06-23 09:34:01,2026-06-23 10:15:05
3,4,3144855,1,LR1_DR02_VC03_V7a,120,1,40446.0,40992.20206399998,40589.729155999994,40589.729155999994,0.35536061909705274,65,68,1000,801,1360.45991886,647.454311538,533.985400996,2541.8996313939997,2592.350123137,408.3203125,593.8046875,471.16015625,2026-06-23 09:34:00,2026-06-23 10:17:13
4,5,3144857,1,LR1_DR02_VC03_V8a,120,1,43721.0,43772.61345599999,43772.61345599999,43772.61345599999,0.11805186523636664,54,59,1000,905,1032.310930562,455.032986866,512.475021161,1999.818938589,2044.754576511,410.99609375,598.7734375,467.58203125,2026-06-23 09:34:01,2026-06-23 10:08:06
5,6,3144858,1,LR1_DR02_VC04_V8a,120,1,41657.0,41948.51598599999,41708.68845999999,41708.65845999999,0.12400907410517191,74,80,1000,906,2107.562310762,518.666147974,319.563900567,2945.792359303,2984.323305431,409.41015625,580.8984375,464.484375,2026-06-23 09:34:01,2026-06-23 10:23:45
6,7,3144860,1,LR1_DR02_VC05_V8a,120,1,36659.0,36623.992022000006,36603.225242,36603.225242,-0.15214478845576684,68,74,1000,769,1868.521638221,523.266719473,394.272288548,2786.060646242,2834.214089835,409.3359375,579.9765625,464.8515625,2026-06-23 09:34:01,2026-06-23 10:21:15
